#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	131715;	1754034435.000;	       err32;	       err32
20250801;	131720;	1754034440.000;	       err32;	       err32
20250801;	131725;	1754034445.000;	       err32;	       err32
20250801;	131730;	1754034450.000;	       err32;	       err32
20250801;	131735;	1754034455.000;	       err32;	       err32
20250801;	131740;	1754034460.000;	       err32;	       err32
20250801;	131745;	1754034465.000;	       err32;	       err32
20250801;	131750;	1754034470.000;	       err32;	       err32
20250801;	131755;	1754034475.000;	       err32;	       err32
20250801;	131800;	1754034480.000;	       err32;	       err32
20250801;	131805;	1754034485.000;	       err32;	       err32
20250801;	131810;	1754034490.000;	       err32;	       err32
20250801;	131815;	1754034495.000;	       err32;	       err32
20250801;	131820;	1754034500.000;	       err32;	       err32
20250801;	131825;	1754034505.000;	       err32;	       err32
20250801;	131830;	1754034510.000;	       err32;	       err32
20250801;	131835;	1754034515.000;	       err32;	       err32
20250801;	131840;	1754034520.000;	       err32;	       err32
20250801;	131845;	1754034525.000;	       err32;	       err32
20250801;	131850;	1754034530.000;	       err32;	       err32
20250801;	131855;	1754034535.000;	       err32;	       err32
20250801;	131900;	1754034540.000;	       err32;	       err32
20250801;	131905;	1754034545.000;	       err32;	       err32
20250801;	131910;	1754034550.000;	       err32;	       err32
20250801;	131915;	1754034555.000;	       err32;	       err32
20250801;	131920;	1754034560.000;	       err32;	       err32
20250801;	131925;	1754034565.000;	       err32;	       err32
20250801;	131930;	1754034570.000;	       err32;	       err32
20250801;	131935;	1754034575.000;	       err32;	       err32
20250801;	131940;	1754034580.000;	       err32;	       err32
20250801;	131945;	1754034585.000;	       err32;	       err32
20250801;	131950;	1754034590.000;	       err32;	       err32
20250801;	131955;	1754034595.000;	       err32;	       err32
20250801;	132000;	1754034600.000;	       err32;	       err32
20250801;	132005;	1754034605.000;	       err32;	       err32
20250801;	132010;	1754034610.000;	       err32;	       err32
20250801;	132015;	1754034615.000;	       err32;	       err32
20250801;	132020;	1754034620.000;	       err32;	       err32
