#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	150115;	1754040675.000;	       err32;	       err32
20250801;	150120;	1754040680.000;	       err32;	       err32
20250801;	150125;	1754040685.000;	       err32;	       err32
20250801;	150130;	1754040690.000;	       err32;	       err32
20250801;	150135;	1754040695.000;	       err32;	       err32
20250801;	150140;	1754040700.000;	       err32;	       err32
20250801;	150145;	1754040705.000;	       err32;	       err32
20250801;	150150;	1754040710.000;	       err32;	       err32
20250801;	150155;	1754040715.000;	       err32;	       err32
20250801;	150200;	1754040720.000;	       err32;	       err32
20250801;	150205;	1754040725.000;	       err32;	       err32
20250801;	150210;	1754040730.000;	       err32;	       err32
20250801;	150215;	1754040735.000;	       err32;	       err32
20250801;	150220;	1754040740.000;	       err32;	       err32
20250801;	150225;	1754040745.000;	       err32;	       err32
20250801;	150230;	1754040750.000;	       err32;	       err32
20250801;	150235;	1754040755.000;	       err32;	       err32
20250801;	150240;	1754040760.000;	       err32;	       err32
20250801;	150245;	1754040765.000;	       err32;	       err32
20250801;	150250;	1754040770.000;	       err32;	       err32
20250801;	150255;	1754040775.000;	       err32;	       err32
20250801;	150300;	1754040780.000;	       err32;	       err32
20250801;	150305;	1754040785.000;	       err32;	       err32
20250801;	150310;	1754040790.000;	       err32;	       err32
20250801;	150315;	1754040795.000;	       err32;	       err32
20250801;	150320;	1754040800.000;	       err32;	       err32
20250801;	150325;	1754040805.000;	       err32;	       err32
20250801;	150330;	1754040810.000;	       err32;	       err32
20250801;	150335;	1754040815.000;	       err32;	       err32
20250801;	150340;	1754040820.000;	       err32;	       err32
20250801;	150345;	1754040825.000;	       err32;	       err32
20250801;	150350;	1754040830.000;	       err32;	       err32
20250801;	150355;	1754040835.000;	       err32;	       err32
20250801;	150400;	1754040840.000;	       err32;	       err32
20250801;	150405;	1754040845.000;	       err32;	       err32
20250801;	150410;	1754040850.000;	       err32;	       err32
20250801;	150415;	1754040855.000;	       err32;	       err32
20250801;	150420;	1754040860.000;	       err32;	       err32
20250801;	150425;	1754040865.000;	       err32;	       err32
20250801;	150430;	1754040870.000;	       err32;	       err32
20250801;	150435;	1754040875.000;	       err32;	       err32
20250801;	150440;	1754040880.000;	       err32;	       err32
20250801;	150445;	1754040885.000;	       err32;	       err32
20250801;	150450;	1754040890.000;	       err32;	       err32
20250801;	150455;	1754040895.000;	       err32;	       err32
20250801;	150500;	1754040900.000;	       err32;	       err32
20250801;	150505;	1754040905.000;	       err32;	       err32
20250801;	150510;	1754040910.000;	       err32;	       err32
20250801;	150515;	1754040915.000;	       err32;	       err32
20250801;	150520;	1754040920.000;	       err32;	       err32
20250801;	150525;	1754040925.000;	       err32;	       err32
20250801;	150530;	1754040930.000;	       err32;	       err32
20250801;	150535;	1754040935.000;	       err32;	       err32
20250801;	150540;	1754040940.000;	       err32;	       err32
20250801;	150545;	1754040945.000;	       err32;	       err32
20250801;	150550;	1754040950.000;	       err32;	       err32
20250801;	150555;	1754040955.000;	       err32;	       err32
20250801;	150600;	1754040960.000;	       err32;	       err32
20250801;	150605;	1754040965.000;	       err32;	       err32
20250801;	150610;	1754040970.000;	       err32;	       err32
20250801;	150615;	1754040975.000;	       err32;	       err32
20250801;	150620;	1754040980.000;	       err32;	       err32
20250801;	150625;	1754040985.000;	       err32;	       err32
20250801;	150630;	1754040990.000;	       err32;	       err32
20250801;	150635;	1754040995.000;	       err32;	       err32
20250801;	150640;	1754041000.000;	       err32;	       err32
20250801;	150645;	1754041005.000;	       err32;	       err32
20250801;	150650;	1754041010.000;	       err32;	       err32
20250801;	150655;	1754041015.000;	       err32;	       err32
20250801;	150700;	1754041020.000;	       err32;	       err32
20250801;	150705;	1754041025.000;	       err32;	       err32
20250801;	150710;	1754041030.000;	       err32;	       err32
20250801;	150715;	1754041035.000;	       err32;	       err32
20250801;	150720;	1754041040.000;	       err32;	       err32
20250801;	150725;	1754041045.000;	       err32;	       err32
20250801;	150730;	1754041050.000;	       err32;	       err32
20250801;	150735;	1754041055.000;	       err32;	       err32
20250801;	150740;	1754041060.000;	       err32;	       err32
20250801;	150745;	1754041065.000;	       err32;	       err32
20250801;	150750;	1754041070.000;	       err32;	       err32
20250801;	150755;	1754041075.000;	       err32;	       err32
20250801;	150800;	1754041080.000;	       err32;	       err32
20250801;	150805;	1754041085.000;	       err32;	       err32
20250801;	150810;	1754041090.000;	       err32;	       err32
20250801;	150815;	1754041095.000;	       err32;	       err32
20250801;	150820;	1754041100.000;	       err32;	       err32
20250801;	150825;	1754041105.000;	       err32;	       err32
20250801;	150830;	1754041110.000;	       err32;	       err32
20250801;	150835;	1754041115.000;	       err32;	       err32
20250801;	150840;	1754041120.000;	       err32;	       err32
20250801;	150845;	1754041125.000;	       err32;	       err32
20250801;	150850;	1754041130.000;	       err32;	       err32
20250801;	150855;	1754041135.000;	       err32;	       err32
20250801;	150900;	1754041140.000;	       err32;	       err32
20250801;	150905;	1754041145.000;	       err32;	       err32
20250801;	150910;	1754041150.000;	       err32;	       err32
20250801;	150915;	1754041155.000;	       err32;	       err32
20250801;	150920;	1754041160.000;	       err32;	       err32
20250801;	150925;	1754041165.000;	       err32;	       err32
20250801;	150930;	1754041170.000;	       err32;	       err32
20250801;	150935;	1754041175.000;	       err32;	       err32
20250801;	150940;	1754041180.000;	       err32;	       err32
20250801;	150945;	1754041185.000;	       err32;	       err32
20250801;	150950;	1754041190.000;	       err32;	       err32
20250801;	150955;	1754041195.000;	       err32;	       err32
20250801;	151000;	1754041200.000;	       err32;	       err32
20250801;	151005;	1754041205.000;	       err32;	       err32
20250801;	151010;	1754041210.000;	       err32;	       err32
20250801;	151015;	1754041215.000;	       err32;	       err32
20250801;	151020;	1754041220.000;	       err32;	       err32
20250801;	151025;	1754041225.000;	       err32;	       err32
20250801;	151030;	1754041230.000;	       err32;	       err32
20250801;	151035;	1754041235.000;	       err32;	       err32
20250801;	151040;	1754041240.000;	       err32;	       err32
20250801;	151045;	1754041245.000;	       err32;	       err32
20250801;	151050;	1754041250.000;	       err32;	       err32
20250801;	151055;	1754041255.000;	       err32;	       err32
20250801;	151100;	1754041260.000;	       err32;	       err32
20250801;	151105;	1754041265.000;	       err32;	       err32
20250801;	151110;	1754041270.000;	       err32;	       err32
20250801;	151115;	1754041275.000;	       err32;	       err32
20250801;	151120;	1754041280.000;	       err32;	       err32
20250801;	151125;	1754041285.000;	       err32;	       err32
20250801;	151130;	1754041290.000;	       err32;	       err32
20250801;	151135;	1754041295.000;	       err32;	       err32
20250801;	151140;	1754041300.000;	       err32;	       err32
20250801;	151145;	1754041305.000;	       err32;	       err32
20250801;	151150;	1754041310.000;	       err32;	       err32
20250801;	151155;	1754041315.000;	       err32;	       err32
20250801;	151200;	1754041320.000;	       err32;	       err32
20250801;	151205;	1754041325.000;	       err32;	       err32
20250801;	151210;	1754041330.000;	       err32;	       err32
20250801;	151215;	1754041335.000;	       err32;	       err32
20250801;	151220;	1754041340.000;	       err32;	       err32
20250801;	151225;	1754041345.000;	       err32;	       err32
20250801;	151230;	1754041350.000;	       err32;	       err32
20250801;	151235;	1754041355.000;	       err32;	       err32
20250801;	151240;	1754041360.000;	       err32;	       err32
20250801;	151245;	1754041365.000;	       err32;	       err32
20250801;	151250;	1754041370.000;	       err32;	       err32
20250801;	151255;	1754041375.000;	       err32;	       err32
20250801;	151300;	1754041380.000;	       err32;	       err32
20250801;	151305;	1754041385.000;	       err32;	       err32
20250801;	151310;	1754041390.000;	       err32;	       err32
20250801;	151315;	1754041395.000;	       err32;	       err32
20250801;	151320;	1754041400.000;	       err32;	       err32
20250801;	151325;	1754041405.000;	       err32;	       err32
20250801;	151330;	1754041410.000;	       err32;	       err32
20250801;	151335;	1754041415.000;	       err32;	       err32
20250801;	151340;	1754041420.000;	       err32;	       err32
20250801;	151345;	1754041425.000;	       err32;	       err32
20250801;	151350;	1754041430.000;	       err32;	       err32
20250801;	151355;	1754041435.000;	       err32;	       err32
20250801;	151400;	1754041440.000;	       err32;	       err32
20250801;	151405;	1754041445.000;	       err32;	       err32
20250801;	151410;	1754041450.000;	       err30;	       err30
20250801;	151415;	1754041455.000;	           0;	           1
20250801;	151420;	1754041460.000;	           0;	           1
20250801;	151425;	1754041465.000;	           0;	           1
20250801;	151430;	1754041470.000;	           0;	           1
20250801;	151435;	1754041475.000;	           0;	           1
20250801;	151440;	1754041480.000;	           0;	           1
20250801;	151445;	1754041485.000;	           0;	           1
20250801;	151450;	1754041490.000;	           0;	           1
20250801;	151455;	1754041495.000;	           0;	           1
20250801;	151500;	1754041500.000;	           0;	           1
20250801;	151505;	1754041505.000;	           0;	           1
20250801;	151510;	1754041510.000;	           0;	           1
20250801;	151515;	1754041515.000;	           0;	           1
20250801;	151520;	1754041520.000;	           0;	           1
20250801;	151525;	1754041525.000;	           0;	           1
20250801;	151530;	1754041530.000;	           0;	           1
20250801;	151535;	1754041535.000;	           0;	           1
20250801;	151540;	1754041540.000;	           0;	           1
20250801;	151545;	1754041545.000;	           0;	           1
20250801;	151550;	1754041550.000;	           0;	           1
20250801;	151555;	1754041555.000;	           0;	           1
20250801;	151600;	1754041560.000;	           0;	           1
20250801;	151605;	1754041565.000;	           0;	           1
20250801;	151610;	1754041570.000;	           0;	           1
20250801;	151615;	1754041575.000;	           0;	           1
20250801;	151620;	1754041580.000;	           0;	           1
20250801;	151625;	1754041585.000;	           0;	           1
20250801;	151630;	1754041590.000;	           0;	           1
20250801;	151635;	1754041595.000;	           0;	           1
20250801;	151640;	1754041600.000;	           0;	           1
20250801;	151645;	1754041605.000;	           0;	           1
20250801;	151650;	1754041610.000;	           0;	           1
20250801;	151655;	1754041615.000;	           0;	           1
20250801;	151700;	1754041620.000;	           0;	           1
20250801;	151705;	1754041625.000;	           0;	           1
20250801;	151710;	1754041630.000;	       err32;	       err32
20250801;	151715;	1754041635.000;	       err32;	       err32
20250801;	151720;	1754041640.000;	       err32;	       err32
20250801;	151725;	1754041645.000;	       err32;	       err32
20250801;	151730;	1754041650.000;	       err32;	       err32
20250801;	151735;	1754041655.000;	       err32;	       err32
20250801;	151740;	1754041660.000;	       err32;	       err32
20250801;	151745;	1754041665.000;	           0;	           1
20250801;	151750;	1754041670.000;	           0;	           1
20250801;	151755;	1754041675.000;	           0;	           1
20250801;	151800;	1754041680.000;	           0;	           1
20250801;	151805;	1754041685.000;	           0;	           1
20250801;	151810;	1754041690.000;	           0;	           1
20250801;	151815;	1754041695.000;	           0;	           1
20250801;	151820;	1754041700.000;	           0;	           1
20250801;	151825;	1754041705.000;	           0;	           1
20250801;	151830;	1754041710.000;	           0;	           1
20250801;	151835;	1754041715.000;	           0;	           1
20250801;	151840;	1754041720.000;	           0;	           1
20250801;	151845;	1754041725.000;	           0;	           1
20250801;	151850;	1754041730.000;	           0;	           1
20250801;	151855;	1754041735.000;	           0;	           1
20250801;	151900;	1754041740.000;	           0;	           1
20250801;	151905;	1754041745.000;	           0;	           1
20250801;	151910;	1754041750.000;	       err32;	       err32
20250801;	151915;	1754041755.000;	       err32;	       err32
20250801;	151920;	1754041760.000;	       err32;	       err32
20250801;	151925;	1754041765.000;	       err32;	       err32
20250801;	151930;	1754041770.000;	       err32;	       err32
20250801;	151935;	1754041775.000;	       err32;	       err32
20250801;	151940;	1754041780.000;	       err32;	       err32
20250801;	151945;	1754041785.000;	       err32;	       err32
20250801;	151950;	1754041790.000;	       err32;	       err32
20250801;	151955;	1754041795.000;	       err32;	       err32
20250801;	152000;	1754041800.000;	       err32;	       err32
20250801;	152005;	1754041805.000;	       err32;	       err32
20250801;	152010;	1754041810.000;	       err32;	       err32
20250801;	152015;	1754041815.000;	       err32;	       err32
20250801;	152020;	1754041820.000;	       err32;	       err32
20250801;	152025;	1754041825.000;	       err32;	       err32
20250801;	152030;	1754041830.000;	       err32;	       err32
20250801;	152035;	1754041835.000;	       err32;	       err32
20250801;	152040;	1754041840.000;	       err32;	       err32
20250801;	152045;	1754041845.000;	       err32;	       err32
20250801;	152050;	1754041850.000;	       err32;	       err32
20250801;	152055;	1754041855.000;	       err32;	       err32
20250801;	152100;	1754041860.000;	       err32;	       err32
20250801;	152105;	1754041865.000;	       err32;	       err32
20250801;	152110;	1754041870.000;	       err32;	       err32
20250801;	152115;	1754041875.000;	       err32;	       err32
20250801;	152120;	1754041880.000;	       err32;	       err32
20250801;	152125;	1754041885.000;	       err32;	       err32
20250801;	152130;	1754041890.000;	       err32;	       err32
20250801;	152135;	1754041895.000;	       err32;	       err32
20250801;	152140;	1754041900.000;	       err32;	       err32
20250801;	152145;	1754041905.000;	       err32;	       err32
20250801;	152150;	1754041910.000;	       err32;	       err32
20250801;	152155;	1754041915.000;	       err32;	       err32
20250801;	152200;	1754041920.000;	       err32;	       err32
20250801;	152205;	1754041925.000;	       err32;	       err32
20250801;	152210;	1754041930.000;	       err32;	       err32
20250801;	152215;	1754041935.000;	       err32;	       err32
20250801;	152220;	1754041940.000;	       err32;	       err32
20250801;	152225;	1754041945.000;	       err32;	       err32
20250801;	152230;	1754041950.000;	       err32;	       err32
20250801;	152235;	1754041955.000;	       err32;	       err32
20250801;	152240;	1754041960.000;	       err32;	       err32
20250801;	152245;	1754041965.000;	       err32;	       err32
20250801;	152250;	1754041970.000;	       err32;	       err32
20250801;	152255;	1754041975.000;	       err32;	       err32
20250801;	152300;	1754041980.000;	       err32;	       err32
20250801;	152305;	1754041985.000;	       err32;	       err32
20250801;	152310;	1754041990.000;	       err32;	       err32
20250801;	152315;	1754041995.000;	       err32;	       err32
20250801;	152320;	1754042000.000;	       err32;	       err32
20250801;	152325;	1754042005.000;	       err32;	       err32
20250801;	152330;	1754042010.000;	       err32;	       err32
20250801;	152335;	1754042015.000;	       err32;	       err32
20250801;	152340;	1754042020.000;	       err32;	       err32
20250801;	152345;	1754042025.000;	       err32;	       err32
20250801;	152350;	1754042030.000;	       err32;	       err32
20250801;	152355;	1754042035.000;	       err32;	       err32
20250801;	152400;	1754042040.000;	       err32;	       err32
20250801;	152405;	1754042045.000;	       err32;	       err32
20250801;	152410;	1754042050.000;	       err32;	       err32
20250801;	152415;	1754042055.000;	       err32;	       err32
20250801;	152420;	1754042060.000;	       err32;	       err32
20250801;	152425;	1754042065.000;	       err32;	       err32
20250801;	152430;	1754042070.000;	       err32;	       err32
20250801;	152435;	1754042075.000;	       err32;	       err32
20250801;	152440;	1754042080.000;	       err32;	       err32
20250801;	152445;	1754042085.000;	       err32;	       err32
20250801;	152450;	1754042090.000;	       err32;	       err32
20250801;	152455;	1754042095.000;	       err32;	       err32
20250801;	152500;	1754042100.000;	       err32;	       err32
20250801;	152505;	1754042105.000;	       err32;	       err32
20250801;	152510;	1754042110.000;	       err32;	       err32
20250801;	152515;	1754042115.000;	       err32;	       err32
20250801;	152520;	1754042120.000;	       err32;	       err32
20250801;	152525;	1754042125.000;	       err32;	       err32
20250801;	152530;	1754042130.000;	       err32;	       err32
20250801;	152535;	1754042135.000;	       err32;	       err32
20250801;	152540;	1754042140.000;	       err32;	       err32
20250801;	152545;	1754042145.000;	       err32;	       err32
20250801;	152550;	1754042150.000;	       err32;	       err32
20250801;	152555;	1754042155.000;	       err32;	       err32
20250801;	152600;	1754042160.000;	       err32;	       err32
20250801;	152605;	1754042165.000;	       err32;	       err32
20250801;	152610;	1754042170.000;	       err32;	       err32
20250801;	152615;	1754042175.000;	       err32;	       err32
20250801;	152620;	1754042180.000;	       err32;	       err32
20250801;	152625;	1754042185.000;	       err32;	       err32
20250801;	152630;	1754042190.000;	       err32;	       err32
20250801;	152635;	1754042195.000;	       err32;	       err32
20250801;	152640;	1754042200.000;	       err32;	       err32
20250801;	152645;	1754042205.000;	       err32;	       err32
20250801;	152650;	1754042210.000;	       err32;	       err32
20250801;	152655;	1754042215.000;	       err32;	       err32
20250801;	152700;	1754042220.000;	       err32;	       err32
20250801;	152705;	1754042225.000;	       err32;	       err32
20250801;	152710;	1754042230.000;	       err32;	       err32
20250801;	152715;	1754042235.000;	       err32;	       err32
20250801;	152720;	1754042240.000;	       err32;	       err32
20250801;	152725;	1754042245.000;	       err32;	       err32
20250801;	152730;	1754042250.000;	       err32;	       err32
20250801;	152735;	1754042255.000;	       err32;	       err32
20250801;	152740;	1754042260.000;	       err32;	       err32
20250801;	152745;	1754042265.000;	       err32;	       err32
20250801;	152750;	1754042270.000;	       err32;	       err32
20250801;	152755;	1754042275.000;	       err32;	       err32
20250801;	152800;	1754042280.000;	       err32;	       err32
20250801;	152805;	1754042285.000;	       err32;	       err32
20250801;	152810;	1754042290.000;	       err32;	       err32
20250801;	152815;	1754042295.000;	       err32;	       err32
20250801;	152820;	1754042300.000;	       err32;	       err32
20250801;	152825;	1754042305.000;	       err32;	       err32
20250801;	152830;	1754042310.000;	       err32;	       err32
20250801;	152835;	1754042315.000;	       err32;	       err32
20250801;	152840;	1754042320.000;	       err32;	       err32
20250801;	152845;	1754042325.000;	       err32;	       err32
20250801;	152850;	1754042330.000;	       err32;	       err32
20250801;	152855;	1754042335.000;	       err32;	       err32
20250801;	152900;	1754042340.000;	       err32;	       err32
20250801;	152905;	1754042345.000;	       err32;	       err32
20250801;	152910;	1754042350.000;	       err32;	       err32
20250801;	152915;	1754042355.000;	       err32;	       err32
20250801;	152920;	1754042360.000;	       err32;	       err32
20250801;	152925;	1754042365.000;	       err32;	       err32
20250801;	152930;	1754042370.000;	       err32;	       err32
20250801;	152935;	1754042375.000;	       err32;	       err32
20250801;	152940;	1754042380.000;	       err32;	       err32
20250801;	152945;	1754042385.000;	       err32;	       err32
20250801;	152950;	1754042390.000;	       err32;	       err32
20250801;	152955;	1754042395.000;	       err32;	       err32
20250801;	153000;	1754042400.000;	       err32;	       err32
20250801;	153005;	1754042405.000;	       err32;	       err32
20250801;	153010;	1754042410.000;	       err32;	       err32
20250801;	153015;	1754042415.000;	       err32;	       err32
20250801;	153020;	1754042420.000;	       err32;	       err32
20250801;	153025;	1754042425.000;	       err32;	       err32
20250801;	153030;	1754042430.000;	       err32;	       err32
20250801;	153035;	1754042435.000;	       err32;	       err32
20250801;	153040;	1754042440.000;	       err32;	       err32
20250801;	153045;	1754042445.000;	       err32;	       err32
20250801;	153050;	1754042450.000;	       err32;	       err32
20250801;	153055;	1754042455.000;	       err32;	       err32
20250801;	153100;	1754042460.000;	       err32;	       err32
20250801;	153105;	1754042465.000;	       err32;	       err32
20250801;	153110;	1754042470.000;	       err32;	       err32
20250801;	153115;	1754042475.000;	       err32;	       err32
20250801;	153120;	1754042480.000;	       err32;	       err32
20250801;	153125;	1754042485.000;	       err32;	       err32
20250801;	153130;	1754042490.000;	       err32;	       err32
20250801;	153135;	1754042495.000;	       err32;	       err32
20250801;	153140;	1754042500.000;	       err32;	       err32
20250801;	153145;	1754042505.000;	       err32;	       err32
20250801;	153150;	1754042510.000;	       err32;	       err32
20250801;	153155;	1754042515.000;	       err32;	       err32
20250801;	153200;	1754042520.000;	       err32;	       err32
20250801;	153205;	1754042525.000;	       err32;	       err32
20250801;	153210;	1754042530.000;	       err32;	       err32
20250801;	153215;	1754042535.000;	       err32;	       err32
20250801;	153220;	1754042540.000;	       err32;	       err32
20250801;	153225;	1754042545.000;	       err32;	       err32
20250801;	153230;	1754042550.000;	       err32;	       err32
20250801;	153235;	1754042555.000;	       err32;	       err32
20250801;	153240;	1754042560.000;	       err32;	       err32
20250801;	153245;	1754042565.000;	       err32;	       err32
20250801;	153250;	1754042570.000;	       err32;	       err32
20250801;	153255;	1754042575.000;	       err32;	       err32
20250801;	153300;	1754042580.000;	       err32;	       err32
20250801;	153305;	1754042585.000;	       err32;	       err32
20250801;	153310;	1754042590.000;	       err32;	       err32
20250801;	153315;	1754042595.000;	       err32;	       err32
20250801;	153320;	1754042600.000;	       err32;	       err32
20250801;	153325;	1754042605.000;	       err32;	       err32
20250801;	153330;	1754042610.000;	       err32;	       err32
20250801;	153335;	1754042615.000;	       err32;	       err32
20250801;	153340;	1754042620.000;	       err32;	       err32
20250801;	153345;	1754042625.000;	       err32;	       err32
20250801;	153350;	1754042630.000;	       err32;	       err32
20250801;	153355;	1754042635.000;	       err32;	       err32
20250801;	153400;	1754042640.000;	       err32;	       err32
20250801;	153405;	1754042645.000;	       err32;	       err32
20250801;	153410;	1754042650.000;	       err32;	       err32
20250801;	153415;	1754042655.000;	       err32;	       err32
20250801;	153420;	1754042660.000;	       err32;	       err32
20250801;	153425;	1754042665.000;	       err32;	       err32
20250801;	153430;	1754042670.000;	       err32;	       err32
20250801;	153435;	1754042675.000;	       err32;	       err32
20250801;	153440;	1754042680.000;	       err32;	       err32
20250801;	153445;	1754042685.000;	       err32;	       err32
20250801;	153450;	1754042690.000;	       err32;	       err32
20250801;	153455;	1754042695.000;	       err32;	       err32
20250801;	153500;	1754042700.000;	       err32;	       err32
20250801;	153505;	1754042705.000;	       err32;	       err32
20250801;	153510;	1754042710.000;	       err32;	       err32
20250801;	153515;	1754042715.000;	       err32;	       err32
20250801;	153520;	1754042720.000;	       err32;	       err32
20250801;	153525;	1754042725.000;	       err32;	       err32
20250801;	153530;	1754042730.000;	       err32;	       err32
20250801;	153535;	1754042735.000;	       err32;	       err32
20250801;	153540;	1754042740.000;	       err32;	       err32
20250801;	153545;	1754042745.000;	       err32;	       err32
20250801;	153550;	1754042750.000;	       err32;	       err32
20250801;	153555;	1754042755.000;	       err32;	       err32
20250801;	153600;	1754042760.000;	       err32;	       err32
20250801;	153605;	1754042765.000;	       err32;	       err32
20250801;	153610;	1754042770.000;	       err32;	       err32
20250801;	153615;	1754042775.000;	       err32;	       err32
20250801;	153620;	1754042780.000;	       err32;	       err32
20250801;	153625;	1754042785.000;	       err32;	       err32
20250801;	153630;	1754042790.000;	       err32;	       err32
20250801;	153635;	1754042795.000;	       err32;	       err32
20250801;	153640;	1754042800.000;	       err32;	       err32
20250801;	153645;	1754042805.000;	       err32;	       err32
20250801;	153650;	1754042810.000;	       err32;	       err32
20250801;	153655;	1754042815.000;	       err32;	       err32
20250801;	153700;	1754042820.000;	       err32;	       err32
20250801;	153705;	1754042825.000;	       err32;	       err32
20250801;	153710;	1754042830.000;	       err32;	       err32
20250801;	153715;	1754042835.000;	       err32;	       err32
20250801;	153720;	1754042840.000;	       err32;	       err32
20250801;	153725;	1754042845.000;	       err32;	       err32
20250801;	153730;	1754042850.000;	       err32;	       err32
20250801;	153735;	1754042855.000;	       err32;	       err32
20250801;	153740;	1754042860.000;	       err32;	       err32
20250801;	153745;	1754042865.000;	       err32;	       err32
20250801;	153750;	1754042870.000;	       err32;	       err32
20250801;	153755;	1754042875.000;	       err32;	       err32
20250801;	153800;	1754042880.000;	       err32;	       err32
20250801;	153805;	1754042885.000;	       err32;	       err32
20250801;	153810;	1754042890.000;	       err32;	       err32
20250801;	153815;	1754042895.000;	       err32;	       err32
20250801;	153820;	1754042900.000;	       err32;	       err32
20250801;	153825;	1754042905.000;	       err32;	       err32
20250801;	153830;	1754042910.000;	       err32;	       err32
20250801;	153835;	1754042915.000;	       err32;	       err32
20250801;	153840;	1754042920.000;	       err32;	       err32
20250801;	153845;	1754042925.000;	       err32;	       err32
20250801;	153850;	1754042930.000;	       err32;	       err32
20250801;	153855;	1754042935.000;	       err32;	       err32
20250801;	153900;	1754042940.000;	       err32;	       err32
20250801;	153905;	1754042945.000;	       err32;	       err32
20250801;	153910;	1754042950.000;	       err32;	       err32
20250801;	153915;	1754042955.000;	       err32;	       err32
20250801;	153920;	1754042960.000;	       err32;	       err32
20250801;	153925;	1754042965.000;	       err32;	       err32
20250801;	153930;	1754042970.000;	       err32;	       err32
20250801;	153935;	1754042975.000;	       err32;	       err32
20250801;	153940;	1754042980.000;	       err32;	       err32
20250801;	153945;	1754042985.000;	       err32;	       err32
20250801;	153950;	1754042990.000;	       err32;	       err32
20250801;	153955;	1754042995.000;	       err32;	       err32
20250801;	154000;	1754043000.000;	       err32;	       err32
20250801;	154005;	1754043005.000;	       err32;	       err32
20250801;	154010;	1754043010.000;	       err32;	       err32
20250801;	154015;	1754043015.000;	       err32;	       err32
20250801;	154020;	1754043020.000;	       err32;	       err32
20250801;	154025;	1754043025.000;	       err32;	       err32
20250801;	154030;	1754043030.000;	       err32;	       err32
20250801;	154035;	1754043035.000;	       err32;	       err32
20250801;	154040;	1754043040.000;	       err32;	       err32
20250801;	154045;	1754043045.000;	       err32;	       err32
20250801;	154050;	1754043050.000;	       err32;	       err32
20250801;	154055;	1754043055.000;	       err32;	       err32
20250801;	154100;	1754043060.000;	       err32;	       err32
20250801;	154105;	1754043065.000;	       err32;	       err32
20250801;	154110;	1754043070.000;	       err32;	       err32
20250801;	154115;	1754043075.000;	       err32;	       err32
20250801;	154120;	1754043080.000;	       err32;	       err32
20250801;	154125;	1754043085.000;	       err32;	       err32
20250801;	154130;	1754043090.000;	       err32;	       err32
20250801;	154135;	1754043095.000;	       err32;	       err32
20250801;	154140;	1754043100.000;	       err32;	       err32
20250801;	154145;	1754043105.000;	       err32;	       err32
20250801;	154150;	1754043110.000;	       err32;	       err32
20250801;	154155;	1754043115.000;	       err32;	       err32
20250801;	154200;	1754043120.000;	       err32;	       err32
20250801;	154205;	1754043125.000;	       err32;	       err32
20250801;	154210;	1754043130.000;	       err32;	       err32
20250801;	154215;	1754043135.000;	       err32;	       err32
20250801;	154220;	1754043140.000;	       err32;	       err32
20250801;	154225;	1754043145.000;	       err32;	       err32
20250801;	154230;	1754043150.000;	       err32;	       err32
20250801;	154235;	1754043155.000;	       err32;	       err32
20250801;	154240;	1754043160.000;	       err32;	       err32
20250801;	154245;	1754043165.000;	       err32;	       err32
20250801;	154250;	1754043170.000;	       err32;	       err32
20250801;	154255;	1754043175.000;	       err32;	       err32
20250801;	154300;	1754043180.000;	       err32;	       err32
20250801;	154305;	1754043185.000;	       err32;	       err32
20250801;	154310;	1754043190.000;	       err32;	       err32
20250801;	154315;	1754043195.000;	       err32;	       err32
20250801;	154320;	1754043200.000;	       err32;	       err32
20250801;	154325;	1754043205.000;	       err32;	       err32
20250801;	154330;	1754043210.000;	       err32;	       err32
20250801;	154335;	1754043215.000;	       err32;	       err32
20250801;	154340;	1754043220.000;	       err32;	       err32
20250801;	154345;	1754043225.000;	       err32;	       err32
20250801;	154350;	1754043230.000;	       err32;	       err32
20250801;	154355;	1754043235.000;	       err32;	       err32
20250801;	154400;	1754043240.000;	       err32;	       err32
20250801;	154405;	1754043245.000;	       err32;	       err32
20250801;	154410;	1754043250.000;	       err32;	       err32
20250801;	154415;	1754043255.000;	       err32;	       err32
20250801;	154420;	1754043260.000;	       err32;	       err32
20250801;	154425;	1754043265.000;	       err32;	       err32
20250801;	154430;	1754043270.000;	       err32;	       err32
20250801;	154435;	1754043275.000;	       err32;	       err32
20250801;	154440;	1754043280.000;	       err32;	       err32
20250801;	154445;	1754043285.000;	       err32;	       err32
20250801;	154450;	1754043290.000;	       err32;	       err32
20250801;	154455;	1754043295.000;	       err32;	       err32
20250801;	154500;	1754043300.000;	       err32;	       err32
20250801;	154505;	1754043305.000;	       err32;	       err32
20250801;	154510;	1754043310.000;	       err32;	       err32
